source_identifier,model,remote_files,parents,has_work_type,local_identifier,ark,acquisition_identifier,oclc,issn,isbn,title,alternative_title,abstract,table_of_contents,photographer,date_created,date_issued,date_other,date_created_d,date_issued_d,date_other_d,publisher,utk_publisher,publication_place,utk_place_of_publication,note,extent,instrumentation,first_line,intended_audience,rights_statement,spatial,spatial_local,coordinates,temporal,call_number,bibliographic_citation,provider,intermediate_provider,repository,archival_collection,subject,keyword,form,resource_type,form_local,language,sheetmusic_hostitem,is_part_of,utk_photographer,contributor,utk_contributor,creator,utk_creator
knoxgardens:120,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000219 | Film  94 | Slide 6 | knoxgardens:120 | record_spc_4494,,,,,,Mt Le Conte,,Glass slide of Mt Le Conte,,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Mount Le Conte,"35.65435, -83.43672",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85090290 | http://id.loc.gov/authorities/subjects/sh85087947 | http://id.loc.gov/authorities/subjects/sh85057008,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:212,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000318 | Film  15 | Slide 105 | knoxgardens:212 | record_spc_4587,,,,,,View of Alice Ijams's garden,Mrs. H. P. Ijams,Glass slide photo of house surrounded with vines and purple-flowered bushes.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:208,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000314 | Film  7 | Slide 101 | knoxgardens:208 | record_spc_4583,,,,,,View of Mrs. Cates's garden,Mrs. Chas Cates,Glass photo slide of garden and countryside.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85038796 | http://id.loc.gov/authorities/subjects/sh2008009411 | http://id.loc.gov/authorities/subjects/sh85137269,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:184,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000289 | Film  103 | Slide 76 | knoxgardens:184 | record_spc_4559,,,,,,View of Mrs. VanDeverater's garden,Mrs. Hu VanDeverater,Glass slide photo of garden pond.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh85145559,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:134,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000234 | Film  25 | Slide 21 | knoxgardens:134 | record_spc_4509,,,,,,Mrs. Morton's Dogwood trees,Mrs. B. A. Morton,Glass slide photo of Dogwood trees at the house of Mrs. B. A. Morton.,,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh85038828,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:130,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000230 | Film  91 | Slide 17 | knoxgardens:130 | record_spc_4505,,,,,,Yellow Wood (Cladrastic),,Glass slide of flowers on the American Yellowwood tree.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85049328,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:166,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000271 | Film  40 | Slide 58 | knoxgardens:166 | record_spc_4541,,,,,,Snowdrops in Lida (McClung) Ross's garden,Mrs. Will Ross,Glass slide photo of snowdrops.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh88022799 | http://id.loc.gov/authorities/subjects/sh2008120720,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:187,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000292 | Film  78 | Slide 79 | knoxgardens:187 | record_spc_4562,,,,,,Chrysanthemum,Chrisanthemum [sic],Glass slide photo of chrysanthemums.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85025424 | http://id.loc.gov/authorities/subjects/sh2008120720 | http://id.loc.gov/authorities/subjects/sh85025424,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:176,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000281 | Film  64 | Slide 68 | knoxgardens:176 | record_spc_4551,,,,,,Water lily,July,Glass slide photo of white water lily,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh85145576,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:165,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000270 | Film  39 | Slide 57 | knoxgardens:165 | record_spc_4540,,,,,,Snowdrops in Lida (McClung) Ross's garden,"Mrs. Will Ross, Jeff Wild",Glass photo slide of snowdrops.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh88022799,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:193,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000298 | Film 8 | Slide 85 | knoxgardens:193 | record_spc_4483,,,,,,View of Louise (Lennon) Craig's home and garden,Mrs. J. J. Craig,"Louise Lennon married John James Craig (president of the Candoro Marble Company and the J. J. Craig Company) in Knoxville, Tennessee on October 11, 1919. The couple lived on Lyons View Pike, where Louise Craig maintained this garden.",,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1927/1935,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85033602,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
