headerdatestamp|headeridentifier|headersetSpec|metadata.mods.accessCondition#text|metadata.mods.accessCondition@type|metadata.mods.identifier.0#text|metadata.mods.identifier.0@type|metadata.mods.identifier.1|metadata.mods.language.languageTerm#text|metadata.mods.language.languageTerm@authority|metadata.mods.language.languageTerm@type|metadata.mods.location.holdingSimple.copyInformationshelfLocator|metadata.mods.locationphysicalLocation|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@authority|metadata.mods.name.role.roleTerm@type|metadata.mods.name.role.roleTerm@valueURI|metadata.mods.name@authority|metadata.mods.name@valueURI|metadata.mods.namenamePart|metadata.mods.originInfo.dateCreated.0|metadata.mods.originInfo.dateCreated.1#text|metadata.mods.originInfo.dateCreated.1@encoding|metadata.mods.originInfo.dateCreated.1@keyDate|metadata.mods.originInfo.dateCreated.1@point|metadata.mods.originInfo.dateCreated.2#text|metadata.mods.originInfo.dateCreated.2@encoding|metadata.mods.originInfo.dateCreated.2@keyDate|metadata.mods.originInfo.dateCreated.2@point|metadata.mods.physicalDescription.form#text|metadata.mods.physicalDescription.form@authority|metadata.mods.physicalDescription.form@valueURI|metadata.mods.recordInfo.languageOfCataloging.languageTerm#text|metadata.mods.recordInfo.languageOfCataloging.languageTerm@authority|metadata.mods.recordInfo.languageOfCataloging.languageTerm@type|metadata.mods.recordInforecordContentSource|metadata.mods.recordInforecordIdentifier|metadata.mods.recordInforecordOrigin|metadata.mods.relatedItem.0.titleInfotitle|metadata.mods.relatedItem.0@displayLabel|metadata.mods.relatedItem.0@type|metadata.mods.relatedItem.1.identifier#text|metadata.mods.relatedItem.1.identifier@type|metadata.mods.relatedItem.1.titleInfotitle|metadata.mods.relatedItem.1@displayLabel|metadata.mods.relatedItem.1@type|metadata.mods.subject.0@authority|metadata.mods.subject.0@valueURI|metadata.mods.subject.0topic|metadata.mods.subject.1.cartographicscoordinates|metadata.mods.subject.1.geographic#text|metadata.mods.subject.1.geographic@authority|metadata.mods.subject.1.geographic@valueURI|metadata.mods.subject.1@authority|metadata.mods.subject.1@valueURI|metadata.mods.subject.1topic|metadata.mods.subject@authority|metadata.mods.subject@valueURI|metadata.mods.subjecttopic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xs|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsabstract|metadata.modstypeOfResource
2018-05-03T23:10:14Z|oai:utklib:knoxgardens_101|collections_knoxgardens|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000463_000200_0001|local|https://digital.lib.utk.edu/collections/islandora/object/knoxgardens%3A101|zxx|iso639-2b|code|Box 1, Folder 35|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |Jim Thompson Company|1925 - 1930|1925|edtf|yes|start|1930|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4475|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.1324|local|Knoxville Gardens Slides|Collection|host|lcsh|http://id.loc.gov/authorities/subjects/sh85053123|Gardens, American|35.96064, -83.92074|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|    |    |    |    |    |    |View in Lillian (Wrenn) Williams' Garden|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Frank J. and Lillian (Wrenn) Williams lived at 1625 West Clinch Street in Knoxville, Tennessee where Lillian maintained the garden shown here.|still image
2018-05-03T23:10:14Z|oai:utklib:knoxgardens_102|collections_knoxgardens|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000463_000201_0001|local|https://digital.lib.utk.edu/collections/islandora/object/knoxgardens%3A102|zxx|iso639-2b|code|Box 1, Folder 92|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |Jim Thompson Company|1925 - 1930|1925|edtf|yes|start|1930|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4476|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.1324|local|Knoxville Gardens Slides|Collection|host|lcsh|http://id.loc.gov/authorities/subjects/sh85053123|Gardens, American|35.96064, -83.92074|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|    |    |    |    |    |    |View in Jane (Johnston) Saunders' Garden|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Jane Jaques Johnston (1876-1950) was born to John Yates and Susan (Ayres) Johnston in Tennessee. She married Ebenezer Hepburn Saunders on October 24, 1901 and the couple lived at 421 West Main Street, where Jane maintained this garden.|still image
2018-05-03T23:10:15Z|oai:utklib:knoxgardens_103|collections_knoxgardens|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000463_000202_0001|local|https://digital.lib.utk.edu/collections/islandora/object/knoxgardens%3A103|zxx|iso639-2b|code|Box 1, Folder 28|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |Jim Thompson Company|1925 - 1930|1925|edtf|yes|start|1930|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4477|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.1324|local|Knoxville Gardens Slides|Collection|host|lcsh|http://id.loc.gov/authorities/subjects/sh85053123|Gardens, American|35.96064, -83.92074|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|    |    |    |    |    |    |View in Eleanor (Spence) Sanford's Garden|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Eleanor Spence was born on April 4, 1879 in Knoxville, Tennessee. She married Alfred Fanton Sanford (1875-1946) in November of 1903 and the couple lived at 2890 Kingston Pike, where Eleanor maintained this garden.|still image
2018-05-03T23:10:15Z|oai:utklib:knoxgardens_104|collections_knoxgardens|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000463_000203_0001|local|https://digital.lib.utk.edu/collections/islandora/object/knoxgardens%3A104|zxx|iso639-2b|code|Box 1, Folder 48|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |Jim Thompson Company|1925 - 1930|1925|edtf|yes|start|1930|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4478|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.1324|local|Knoxville Gardens Slides|Collection|host|lcsh|http://id.loc.gov/authorities/subjects/sh85053123|Gardens, American|35.96064, -83.92074|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|    |    |    |    |    |    |Entrance to Lida (McClung) Ross' Garden|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"Eliza ""Lida"" Mills McClung (1882-1968) was born to Calvin Morgan and Annie (McGhee) McClung in Tennessee. She married William Cary Ross (1879-1956) on December 2, 1902 and the couple lived at 4155 Lyons View Pike, where Lida maintained the garden shown above."|still image
2018-05-03T23:10:15Z|oai:utklib:knoxgardens_105|collections_knoxgardens|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000463_000204_0001|local|https://digital.lib.utk.edu/collections/islandora/object/knoxgardens%3A105|zxx|iso639-2b|code|Box 1, Folder 38|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |Jim Thompson Company|1925 - 1930|1925|edtf|yes|start|1930|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4479|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.1324|local|Knoxville Gardens Slides|Collection|host|lcsh|http://id.loc.gov/authorities/subjects/sh85053123|Gardens, American|    |    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh00007640|Knoxville (Tenn.)--History|    |    |    |Path in Nell (Jenkins) Prosser's Garden|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Nell S. Jenkins married Knoxville merchandise broker Brown Prosser in 1924. She maintained the garden shown here at their home on Prosser Road.|still image
2018-05-03T23:10:15Z|oai:utklib:knoxgardens_106|collections_knoxgardens|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000463_000205_0001|local|https://digital.lib.utk.edu/collections/islandora/object/knoxgardens%3A106|zxx|iso639-2b|code|Box 1, Folder 39|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |Jim Thompson Company|1925 - 1930|1925|edtf|yes|start|1930|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4480|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.1324|local|Knoxville Gardens Slides|Collection|host|lcsh|http://id.loc.gov/authorities/subjects/sh85053123|Gardens, American|    |    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh00007640|Knoxville (Tenn.)--History|    |    |    |Path in Nell (Jenkins) Prosser's Garden|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Nell S. Jenkins married Knoxville merchandise broker Brown Prosser in 1924. She maintained the garden shown here at their home on Prosser Road.|still image
2018-05-03T23:10:15Z|oai:utklib:knoxgardens_107|collections_knoxgardens|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000463_000206_0001|local|https://digital.lib.utk.edu/collections/islandora/object/knoxgardens%3A107|zxx|iso639-2b|code|Box 1, Folder 40|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |Jim Thompson Company|1925 - 1930|1925|edtf|yes|start|1930|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4481|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.1324|local|Knoxville Gardens Slides|Collection|host|lcsh|http://id.loc.gov/authorities/subjects/sh85053123|Gardens, American|    |    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh00007640|Knoxville (Tenn.)--History|    |    |    |View in Nell (Jenkins) Prosser's Garden|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Nell S. Jenkins married Knoxville merchandise broker Brown Prosser in 1924. She maintained the garden shown here at their home on Prosser Road.|still image
2018-05-03T23:10:15Z|oai:utklib:knoxgardens_108|collections_knoxgardens|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000463_000207_0001|local|https://digital.lib.utk.edu/collections/islandora/object/knoxgardens%3A108|zxx|iso639-2b|code|Box 1, Folder 30|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |Jim Thompson Company|1925 - 1930|1925|edtf|yes|start|1930|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4482|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.1324|local|Knoxville Gardens Slides|Collection|host|lcsh|http://id.loc.gov/authorities/subjects/sh85053123|Gardens, American|    |    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh00007640|Knoxville (Tenn.)--History|    |    |    |View in William Lester's Garden|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|View in William Lester's garden. This home may have been located on Broadway.|still image
2018-05-03T23:10:15Z|oai:utklib:knoxgardens_109|collections_knoxgardens|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000463_000208_0001|local|https://digital.lib.utk.edu/collections/islandora/object/knoxgardens%3A109|zxx|iso639-2b|code|Box 1, Folder 85|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |Jim Thompson Company|1925 - 1930|1925|edtf|yes|start|1930|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4483|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.1324|local|Knoxville Gardens Slides|Collection|host|lcsh|http://id.loc.gov/authorities/subjects/sh85053123|Gardens, American|    |    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh00007640|Knoxville (Tenn.)--History|    |    |    |View of Louise (Lennon) Craig's Home and Garden|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Louise Lennon married John James Craig (president of the Candoro Marble Company and the J. J. Craig Company) in Knoxville, Tennessee on October 11, 1919. The couple lived on Lyons View Pike, where Louise Craig maintained this garden.|still image
2018-05-03T23:10:15Z|oai:utklib:knoxgardens_110|collections_knoxgardens|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000463_000209_0001|local|https://digital.lib.utk.edu/collections/islandora/object/knoxgardens%3A110|zxx|iso639-2b|code|Box 1, Folder 86|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |Jim Thompson Company|1925 - 1930|1925|edtf|yes|start|1930|edtf|yes|end|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_4484|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.1324|local|Knoxville Gardens Slides|Collection|host|lcsh|http://id.loc.gov/authorities/subjects/sh85053123|Gardens, American|    |    |    |    |lcsh|http://id.loc.gov/authorities/subjects/sh00007640|Knoxville (Tenn.)--History|    |    |    |View of Louise (Lennon) Craig's Home and Garden|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Louise Lennon married John James Craig (president of the Candoro Marble Company and the J. J. Craig Company) in Knoxville, Tennessee on October 11, 1919. The couple lived on Lyons View Pike, where Louise Craig maintained this garden.|still image
